"Transaction Date","Payment Ref","Payer Name","Open ID","Product Name","Insurance Company","Policy Number","Coverage Period",Currency,"Charge Amount","Promotion Type",Status
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52642497479,"19/04/2024 to 15/04/2025",SGD,0.50,none,PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52424312548,"19/04/2024 to 15/04/2025",SGD,0.50,none,PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52869963131,"19/04/2024 to 15/04/2025",SGD,0.50,none,PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52675632538,"19/04/2024 to 15/04/2025",SGD,0.50,none,PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52912232385,"19/04/2024 to 15/04/2025",SGD,0.50,none,PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52276377852,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52452615775,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52335644814,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52941812619,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52186157649,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52664657566,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52833776256,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52111621435,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52126567896,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52926461711,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52611222819,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52592789797,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52858313332,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52229486427,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52851929494,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52251861461,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52594518578,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52169652475,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52526258795,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52259353934,"19/04/2024 to 15/04/2025",SGD,0.30,"Free Policy",PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52512863538,"19/04/2024 to 15/04/2025",SGD,0.50,none,PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52879695917,"19/04/2024 to 15/04/2025",SGD,0.50,none,PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52568283763,"19/04/2024 to 15/04/2025",SGD,0.50,none,PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52256177263,"19/04/2024 to 15/04/2025",SGD,0.50,none,PAID
"2024-04-19 00:00:00",40200000000000,"TEST Arjun",521234,ProductName,"Insurance Company",GC52873215126,"19/04/2024 to 15/04/2025",SGD,0.50,none,PAID
